fase;campeonato;copa;pista;bioma;ambiente;clima;horario;peculiaridade;traço dominante;compassos/sections;fingerprint
184;7;Grande Prêmio Tropical;Grande Laço Fênix RX;city;Megacidade cyber;tempestade;Madrugada;final em mergulho;entrada de chicane;19;7fa5c9e7c55a
185;7;Grande Prêmio Tropical;Ponte Liberdade Mirror;grass;Floresta leve;neblina;Amanhecer;descida rápida;descida rápida;12;2ed12d953eac
186;7;Grande Prêmio Tropical;Arena Turbo Clássico;grass;Costa tropical;céu limpo;Tarde;reta de pit longa;entrada de chicane;16;23af9e010893
187;7;Grande Prêmio Tropical;Circuito Miragem Circuit;city;Cidade neon;noite seca;Noite;reta com vento;entrada de chicane;17;e3b3377613c8
188;7;Grande Prêmio Tropical;Grande Laço Pixel Solar;grass;Campos verdes;céu limpo;Manhã;S técnico;hairpin forte;18;76238f905000
189;7;Grande Prêmio Tropical;Ponte Eclipse Leste;mountain;Vale nevado;neblina;Noite;ponto de frenagem tardia;saída de chicane;19;b3f9078d3db1
190;8;Circuito Industrial 16 Bits;Desafio Cristal 16B;city;Megacidade cyber;tempestade;Madrugada;reta com vento;reta de recuperação;15;8c061adef29b
191;8;Circuito Industrial 16 Bits;Anel Infinito RX;grass;Floresta leve;neblina;Amanhecer;S técnico;reta de recuperação;15;957197a38c91
192;8;Circuito Industrial 16 Bits;Passagem Prisma Mirror;grass;Costa tropical;céu limpo;Tarde;ponto de frenagem tardia;ponte estreita;17;b77eb8a87477
193;8;Circuito Industrial 16 Bits;Túnel Titânio Clássico;city;Cidade neon;noite seca;Noite;ponte estreita;esses de alta velocidade;18;b61b8349db30
194;8;Circuito Industrial 16 Bits;Desafio Trovão Circuit;grass;Campos verdes;céu limpo;Manhã;sequência de placas;hairpin forte;19;06efb3d2ea2c
195;8;Circuito Industrial 16 Bits;Anel Gaia Solar;mountain;Vale nevado;neblina;Noite;curva de raio crescente;subida cega;15;4064cc130ddd
196;8;Circuito Industrial 16 Bits;Passagem Orion Leste;desert;Cânion seco;céu limpo;Pôr do sol;chicane curta;entrada de chicane;15;3c58c5410ff3
197;8;Circuito Industrial 16 Bits;Túnel Ômega Pro;city;Porto neon;chuva;Noite;miolo de 3 vértices;curva longa de alta;17;f426c7ea8c07
198;8;Circuito Industrial 16 Bits;Desafio Ametista GT;city;Megacidade cyber;tempestade;Madrugada;cotovelo em subida;túnel escuro;18;524d5da80765
199;8;Circuito Industrial 16 Bits;Anel Delta Endurance;grass;Floresta leve;neblina;Amanhecer;hairpin duplo;curva longa de alta;19;2ea1afb685d4
200;8;Circuito Industrial 16 Bits;Passagem Cristal Master;grass;Costa tropical;céu limpo;Tarde;retomada após túnel;reta de recuperação;14;00d3c2363235
201;8;Circuito Industrial 16 Bits;Túnel Infinito Extreme;city;Cidade neon;noite seca;Noite;túnel escuro;entrada de chicane;16;92d2334e5f94
202;8;Circuito Industrial 16 Bits;Desafio Prisma Noite;grass;Campos verdes;céu limpo;Manhã;subida em caracol;entrada de chicane;17;90d599229f61
203;8;Circuito Industrial 16 Bits;Anel Titânio Sul;mountain;Vale nevado;neblina;Noite;curva de raio fechado;curva longa de alta;18;f34135a45dd2
204;8;Circuito Industrial 16 Bits;Passagem Trovão Final;desert;Cânion seco;céu limpo;Pôr do sol;curva longa de alta;ponte estreita;22;2ea31e61250c
205;8;Circuito Industrial 16 Bits;Túnel Gaia Prime;city;Porto neon;chuva;Noite;curva espelhada falsa;subida cega;12;a0ebb9463136
206;8;Circuito Industrial 16 Bits;Desafio Orion Sprint;city;Megacidade cyber;tempestade;Madrugada;zigue-zague rítmico;túnel escuro;16;171235f1392e
207;8;Circuito Industrial 16 Bits;Anel Ômega SX;grass;Floresta leve;neblina;Amanhecer;subida cega;hairpin forte;17;5c022133a4cc
208;8;Circuito Industrial 16 Bits;Passagem Ametista Arcade;grass;Costa tropical;céu limpo;Tarde;trecho de aderência baixa;reta de recuperação;18;1093ef3e43e4
209;8;Circuito Industrial 16 Bits;Túnel Delta Turbo;city;Cidade neon;noite seca;Noite;miolo ondulado;túnel escuro;20;cf5d51a6bc3b
210;8;Circuito Industrial 16 Bits;Desafio Cristal Norte;grass;Campos verdes;céu limpo;Manhã;reta de largada larga;entrada de chicane;15;ee12bb546e2b
211;8;Circuito Industrial 16 Bits;Anel Infinito Chuva;mountain;Vale nevado;neblina;Noite;esses de alta velocidade;hairpin forte;16;a25afcb36165
212;8;Circuito Industrial 16 Bits;Passagem Prisma Oeste;desert;Cânion seco;céu limpo;Pôr do sol;sequência travada;reta de recuperação;17;eed9a3206ce6
213;8;Circuito Industrial 16 Bits;Túnel Titânio 16B;city;Porto neon;chuva;Noite;trecho com relevo quebrado;entrada de chicane;19;aec09a21b7d8
214;8;Circuito Industrial 16 Bits;Desafio Trovão RX;city;Megacidade cyber;tempestade;Madrugada;final em mergulho;subida cega;19;fd3983fc6d3a
215;8;Circuito Industrial 16 Bits;Anel Gaia Mirror;grass;Floresta leve;neblina;Amanhecer;descida rápida;descida rápida;12;468c9d47db97
216;8;Circuito Industrial 16 Bits;Passagem Orion Clássico;grass;Costa tropical;céu limpo;Tarde;reta de pit longa;descida rápida;16;871bc69008af
217;9;Taça Canion Dourado;Travessia Coral Norte;mountain;Vale nevado;neblina;Noite;final em mergulho;saída de chicane;17;71be19964cf5
218;9;Taça Canion Dourado;Caminho Aurora Chuva;desert;Cânion seco;céu limpo;Pôr do sol;descida rápida;reta de recuperação;20;754dbcc8de02
219;9;Taça Canion Dourado;Estrada Vulcano Oeste;city;Porto neon;chuva;Noite;reta de pit longa;túnel escuro;20;ab555028a52b
220;9;Taça Canion Dourado;Via Expressa Relâmpago 16B;city;Megacidade cyber;tempestade;Madrugada;reta com vento;curva em caracol;15;145294ddd626
221;9;Taça Canion Dourado;Travessia Centelha RX;grass;Floresta leve;neblina;Amanhecer;S técnico;curva em caracol;15;9c082e157b41
222;9;Taça Canion Dourado;Caminho Solaris Mirror;grass;Costa tropical;céu limpo;Tarde;ponto de frenagem tardia;ponte estreita;17;e5ae9aea87e6
223;9;Taça Canion Dourado;Estrada Diamante Clássico;city;Cidade neon;noite seca;Noite;ponte estreita;descida rápida;18;eeeaf884e37c
224;9;Taça Canion Dourado;Via Expressa Atlas Circuit;grass;Campos verdes;céu limpo;Manhã;sequência de placas;esses de alta velocidade;19;4b058c91fb2b
225;9;Taça Canion Dourado;Travessia Jaguar Solar;mountain;Vale nevado;neblina;Noite;curva de raio crescente;curva em caracol;15;91e1885288d2
226;9;Taça Canion Dourado;Caminho Saturno Leste;desert;Cânion seco;céu limpo;Pôr do sol;chicane curta;esses de alta velocidade;15;b1fb2d6e53d7
227;9;Taça Canion Dourado;Estrada Coral Pro;city;Porto neon;chuva;Noite;miolo de 3 vértices;curva longa de alta;17;b3ca41d0e903
228;9;Taça Canion Dourado;Via Expressa Aurora GT;city;Megacidade cyber;tempestade;Madrugada;cotovelo em subida;curva longa de alta;18;6e4cc4da405a
229;9;Taça Canion Dourado;Travessia Vulcano Endurance;grass;Floresta leve;neblina;Amanhecer;hairpin duplo;ponte estreita;19;032b1bf7c7ff
230;9;Taça Canion Dourado;Caminho Relâmpago Master;grass;Costa tropical;céu limpo;Tarde;retomada após túnel;ponte estreita;14;05fee6b5502b
231;9;Taça Canion Dourado;Estrada Centelha Extreme;city;Cidade neon;noite seca;Noite;túnel escuro;saída de chicane;16;2d5a6786ae5b
232;9;Taça Canion Dourado;Via Expressa Solaris Noite;grass;Campos verdes;céu limpo;Manhã;subida em caracol;entrada de chicane;17;f968111ce2ee
233;9;Taça Canion Dourado;Travessia Diamante Sul;mountain;Vale nevado;neblina;Noite;curva de raio fechado;saída de chicane;18;1d67b7cc1d0a
234;9;Taça Canion Dourado;Caminho Atlas Final;desert;Cânion seco;céu limpo;Pôr do sol;curva longa de alta;esses de alta velocidade;22;f298407608a1
235;9;Taça Canion Dourado;Estrada Jaguar Prime;city;Porto neon;chuva;Noite;curva espelhada falsa;subida cega;12;7232e741e35b
236;9;Taça Canion Dourado;Via Expressa Saturno Sprint;city;Megacidade cyber;tempestade;Madrugada;zigue-zague rítmico;entrada de chicane;16;f40b19d09e61
237;9;Taça Canion Dourado;Travessia Coral SX;grass;Floresta leve;neblina;Amanhecer;subida cega;hairpin forte;17;6544e098dc6c
238;9;Taça Canion Dourado;Caminho Aurora Arcade;grass;Costa tropical;céu limpo;Tarde;trecho de aderência baixa;esses de alta velocidade;18;dcedbe657031
239;9;Taça Canion Dourado;Estrada Vulcano Turbo;city;Cidade neon;noite seca;Noite;miolo ondulado;túnel escuro;20;53742bfd2029
240;9;Taça Canion Dourado;Via Expressa Relâmpago Norte;grass;Campos verdes;céu limpo;Manhã;reta de largada larga;ponte estreita;15;15fac6173512
241;9;Taça Canion Dourado;Travessia Centelha Chuva;mountain;Vale nevado;neblina;Noite;esses de alta velocidade;esses de alta velocidade;16;de6803720595
242;9;Taça Canion Dourado;Caminho Solaris Oeste;desert;Cânion seco;céu limpo;Pôr do sol;sequência travada;reta de recuperação;17;4fc64ba9e6f5
243;9;Taça Canion Dourado;Estrada Diamante 16B;city;Porto neon;chuva;Noite;trecho com relevo quebrado;entrada de chicane;19;ecebf8f6d6dc
244;10;Copa Chuva de Verão;Rally Atlântico SX;grass;Costa tropical;céu limpo;Tarde;esses de alta velocidade;curva longa de alta;19;4405cff7471a
245;10;Copa Chuva de Verão;Sprint Mandacaru Arcade;city;Cidade neon;noite seca;Noite;sequência travada;saída de chicane;15;524c4fd2abeb
246;10;Copa Chuva de Verão;Vale Horizonte Turbo;grass;Campos verdes;céu limpo;Manhã;trecho com relevo quebrado;esses de alta velocidade;16;5dd3b6be1905
247;10;Copa Chuva de Verão;Rota Cobalto Norte;mountain;Vale nevado;neblina;Noite;final em mergulho;saída de chicane;17;813a38687509
248;10;Copa Chuva de Verão;Rally Cascata Chuva;desert;Cânion seco;céu limpo;Pôr do sol;descida rápida;reta de recuperação;20;d8bac976aac6
249;10;Copa Chuva de Verão;Sprint Neblina Oeste;city;Porto neon;chuva;Noite;reta de pit longa;túnel escuro;20;287371fe389a
250;10;Copa Chuva de Verão;Vale Nômade 16B;city;Megacidade cyber;tempestade;Madrugada;reta com vento;saída de chicane;15;346358c45c94
251;10;Copa Chuva de Verão;Rota Tempestade RX;grass;Floresta leve;neblina;Amanhecer;S técnico;subida cega;17;b63b6e47f3c0
252;10;Copa Chuva de Verão;Rally Falésia Mirror;grass;Costa tropical;céu limpo;Tarde;ponto de frenagem tardia;descida rápida;18;363f85640113
253;10;Copa Chuva de Verão;Sprint Vector Clássico;city;Cidade neon;noite seca;Noite;ponte estreita;esses de alta velocidade;20;c274f6cda436
254;10;Copa Chuva de Verão;Vale Atlântico Circuit;grass;Campos verdes;céu limpo;Manhã;sequência de placas;entrada de chicane;20;4274e772f195
255;10;Copa Chuva de Verão;Rota Mandacaru Solar;mountain;Vale nevado;neblina;Noite;curva de raio crescente;esses de alta velocidade;16;1fa4965b808a
256;10;Copa Chuva de Verão;Rally Horizonte Leste;desert;Cânion seco;céu limpo;Pôr do sol;chicane curta;entrada de chicane;17;3fd0889d07a1
257;10;Copa Chuva de Verão;Sprint Cobalto Pro;city;Porto neon;chuva;Noite;miolo de 3 vértices;curva longa de alta;19;298e8c40c3db
258;10;Copa Chuva de Verão;Vale Cascata GT;city;Megacidade cyber;tempestade;Madrugada;cotovelo em subida;saída de chicane;19;a152b9d3ef66
259;10;Copa Chuva de Verão;Rota Neblina Endurance;grass;Floresta leve;neblina;Amanhecer;hairpin duplo;subida cega;20;30d341981143
260;10;Copa Chuva de Verão;Rally Nômade Master;grass;Costa tropical;céu limpo;Tarde;retomada após túnel;esses de alta velocidade;16;f7dbea7b45aa
261;10;Copa Chuva de Verão;Sprint Tempestade Extreme;city;Cidade neon;noite seca;Noite;túnel escuro;esses de alta velocidade;17;d64e7c473218
262;10;Copa Chuva de Verão;Vale Falésia Noite;grass;Campos verdes;céu limpo;Manhã;subida em caracol;curva longa de alta;18;42fbd42fdc64
263;10;Copa Chuva de Verão;Rota Vector Sul;mountain;Vale nevado;neblina;Noite;curva de raio fechado;esses de alta velocidade;19;cbead61f2753
264;10;Copa Chuva de Verão;Rally Atlântico Final;desert;Cânion seco;céu limpo;Pôr do sol;curva longa de alta;esses de alta velocidade;23;bb5d8fba23e9
265;10;Copa Chuva de Verão;Sprint Mandacaru Prime;city;Porto neon;chuva;Noite;curva espelhada falsa;reta de recuperação;14;a0476075267c
266;10;Copa Chuva de Verão;Vale Horizonte Sprint;city;Megacidade cyber;tempestade;Madrugada;zigue-zague rítmico;entrada de chicane;17;80c27cef445d
267;10;Copa Chuva de Verão;Rota Cobalto SX;grass;Floresta leve;neblina;Amanhecer;subida cega;reta de recuperação;18;d4c133ae4c93
268;10;Copa Chuva de Verão;Rally Cascata Arcade;grass;Costa tropical;céu limpo;Tarde;trecho de aderência baixa;hairpin forte;19;8f549c58834b
269;10;Copa Chuva de Verão;Sprint Neblina Turbo;city;Cidade neon;noite seca;Noite;miolo ondulado;reta de recuperação;23;39d5b1edeb63
270;10;Copa Chuva de Verão;Vale Nômade Norte;grass;Campos verdes;céu limpo;Manhã;reta de largada larga;saída de chicane;16;86147fbfae1e
271;11;Liga Metro Futuro;Serpentina Esmeralda Final;city;Porto neon;chuva;Noite;trecho de aderência baixa;reta de recuperação;17;575e76733898
272;11;Liga Metro Futuro;Boulevard Monsoon Prime;city;Megacidade cyber;tempestade;Madrugada;miolo ondulado;descida rápida;18;3f81b97bae06
273;11;Liga Metro Futuro;Volta Fênix Sprint;grass;Floresta leve;neblina;Amanhecer;reta de largada larga;subida cega;19;092b03b91e5a
274;11;Liga Metro Futuro;Autódromo Liberdade SX;grass;Costa tropical;céu limpo;Tarde;esses de alta velocidade;entrada de chicane;20;23c9bed3eff6
275;11;Liga Metro Futuro;Serpentina Turbo Arcade;city;Cidade neon;noite seca;Noite;sequência travada;descida rápida;16;234d84e12807
276;11;Liga Metro Futuro;Boulevard Miragem Turbo;grass;Campos verdes;céu limpo;Manhã;trecho com relevo quebrado;descida rápida;17;1b4bc85f7a7d
277;11;Liga Metro Futuro;Volta Pixel Norte;mountain;Vale nevado;neblina;Noite;final em mergulho;subida cega;18;47ed83ec4526
278;11;Liga Metro Futuro;Autódromo Eclipse Chuva;desert;Cânion seco;céu limpo;Pôr do sol;descida rápida;saída de chicane;22;fa61e81bfa0a
279;11;Liga Metro Futuro;Serpentina Lunar Oeste;city;Porto neon;chuva;Noite;reta de pit longa;saída de chicane;21;743c5cf39fd8
280;11;Liga Metro Futuro;Boulevard Neon 16B;city;Megacidade cyber;tempestade;Madrugada;reta com vento;descida rápida;16;5126d1422e31
281;11;Liga Metro Futuro;Volta Esmeralda RX;grass;Floresta leve;neblina;Amanhecer;S técnico;subida cega;17;3a193ca116af
282;11;Liga Metro Futuro;Autódromo Monsoon Mirror;grass;Costa tropical;céu limpo;Tarde;ponto de frenagem tardia;curva em caracol;18;bacb849afc11
283;11;Liga Metro Futuro;Serpentina Fênix Clássico;city;Cidade neon;noite seca;Noite;ponte estreita;esses de alta velocidade;20;61badda836e7
284;11;Liga Metro Futuro;Boulevard Liberdade Circuit;grass;Campos verdes;céu limpo;Manhã;sequência de placas;entrada de chicane;20;fdba34869b44
285;11;Liga Metro Futuro;Volta Turbo Solar;mountain;Vale nevado;neblina;Noite;curva de raio crescente;curva longa de alta;16;f5636cb9ce27
286;11;Liga Metro Futuro;Autódromo Miragem Leste;desert;Cânion seco;céu limpo;Pôr do sol;chicane curta;entrada de chicane;17;9de5a166a136
287;11;Liga Metro Futuro;Serpentina Pixel Pro;city;Porto neon;chuva;Noite;miolo de 3 vértices;saída de chicane;19;fcb5cebc36b0
288;11;Liga Metro Futuro;Boulevard Eclipse GT;city;Megacidade cyber;tempestade;Madrugada;cotovelo em subida;curva longa de alta;19;ef2b08fcb8ea
289;11;Liga Metro Futuro;Volta Lunar Endurance;grass;Floresta leve;neblina;Amanhecer;hairpin duplo;subida cega;20;3510e2463536
290;11;Liga Metro Futuro;Autódromo Neon Master;grass;Costa tropical;céu limpo;Tarde;retomada após túnel;subida cega;16;9dfed2c463eb
291;11;Liga Metro Futuro;Serpentina Esmeralda Extreme;city;Cidade neon;noite seca;Noite;túnel escuro;esses de alta velocidade;17;37204f270d2a
292;11;Liga Metro Futuro;Boulevard Monsoon Noite;grass;Campos verdes;céu limpo;Manhã;subida em caracol;saída de chicane;18;70a87c8be7d7
293;11;Liga Metro Futuro;Volta Fênix Sul;mountain;Vale nevado;neblina;Noite;curva de raio fechado;curva em caracol;19;058b0a7c982a
294;11;Liga Metro Futuro;Autódromo Liberdade Final;desert;Cânion seco;céu limpo;Pôr do sol;curva longa de alta;esses de alta velocidade;23;b4a17b4da377
295;11;Liga Metro Futuro;Serpentina Turbo Prime;city;Porto neon;chuva;Noite;curva espelhada falsa;túnel escuro;14;4e4216a54d31
296;11;Liga Metro Futuro;Boulevard Miragem Sprint;city;Megacidade cyber;tempestade;Madrugada;zigue-zague rítmico;entrada de chicane;17;01fa4f86c01d
297;11;Liga Metro Futuro;Volta Pixel SX;grass;Floresta leve;neblina;Amanhecer;subida cega;esses de alta velocidade;18;ac94e06a5900
298;12;Rota das Cataratas;Circuito Delta Extreme;grass;Campos verdes;céu limpo;Manhã;curva espelhada falsa;esses de alta velocidade;19;b10464b72d77
299;12;Rota das Cataratas;Grande Laço Cristal Noite;mountain;Vale nevado;neblina;Noite;zigue-zague rítmico;subida cega;20;94f7183410b3
300;12;Rota das Cataratas;Ponte Infinito Sul;desert;Cânion seco;céu limpo;Pôr do sol;subida cega;entrada de chicane;15;eb232c8deb18
301;12;Rota das Cataratas;Arena Prisma Final;city;Porto neon;chuva;Noite;trecho de aderência baixa;reta de recuperação;17;3bd1946434f5
302;12;Rota das Cataratas;Circuito Titânio Prime;city;Megacidade cyber;tempestade;Madrugada;miolo ondulado;curva em caracol;18;73f04d541104
303;12;Rota das Cataratas;Grande Laço Trovão Sprint;grass;Floresta leve;neblina;Amanhecer;reta de largada larga;entrada de chicane;19;b5cbff41a341
304;12;Rota das Cataratas;Ponte Gaia SX;grass;Costa tropical;céu limpo;Tarde;esses de alta velocidade;entrada de chicane;20;c5fe1bcd40a6
305;12;Rota das Cataratas;Arena Orion Arcade;city;Cidade neon;noite seca;Noite;sequência travada;esses de alta velocidade;16;b589ee16851f
306;12;Rota das Cataratas;Circuito Ômega Turbo;grass;Campos verdes;céu limpo;Manhã;trecho com relevo quebrado;descida rápida;17;af93d49db95d
307;12;Rota das Cataratas;Grande Laço Ametista Norte;mountain;Vale nevado;neblina;Noite;final em mergulho;esses de alta velocidade;18;a01c49fbaf3c
308;12;Rota das Cataratas;Ponte Delta Chuva;desert;Cânion seco;céu limpo;Pôr do sol;descida rápida;saída de chicane;22;cefd82cb6ba9
309;12;Rota das Cataratas;Arena Cristal Oeste;city;Porto neon;chuva;Noite;reta de pit longa;entrada de chicane;21;f82decce9da5
310;12;Rota das Cataratas;Circuito Infinito 16B;city;Megacidade cyber;tempestade;Madrugada;reta com vento;esses de alta velocidade;16;a506c7d29352
311;12;Rota das Cataratas;Grande Laço Prisma RX;grass;Floresta leve;neblina;Amanhecer;S técnico;subida cega;17;46cb34e76d8b
312;12;Rota das Cataratas;Ponte Titânio Mirror;grass;Costa tropical;céu limpo;Tarde;ponto de frenagem tardia;saída de chicane;18;8029c88bcb8e
313;12;Rota das Cataratas;Arena Trovão Clássico;city;Cidade neon;noite seca;Noite;ponte estreita;esses de alta velocidade;20;f3e5d0f9157f
314;12;Rota das Cataratas;Circuito Gaia Circuit;grass;Campos verdes;céu limpo;Manhã;sequência de placas;entrada de chicane;20;f7a9b5720ab3
315;12;Rota das Cataratas;Grande Laço Orion Solar;mountain;Vale nevado;neblina;Noite;curva de raio crescente;esses de alta velocidade;16;a1c9372d5e10
316;12;Rota das Cataratas;Ponte Ômega Leste;desert;Cânion seco;céu limpo;Pôr do sol;chicane curta;entrada de chicane;17;6f516f3b10b6
317;12;Rota das Cataratas;Arena Ametista Pro;city;Porto neon;chuva;Noite;miolo de 3 vértices;saída de chicane;19;07bb0e991859
318;12;Rota das Cataratas;Circuito Delta GT;city;Megacidade cyber;tempestade;Madrugada;cotovelo em subida;túnel escuro;19;c19a6bffb773
319;12;Rota das Cataratas;Grande Laço Cristal Endurance;grass;Floresta leve;neblina;Amanhecer;hairpin duplo;subida cega;20;7b5fb0f23f39
320;12;Rota das Cataratas;Ponte Infinito Master;grass;Costa tropical;céu limpo;Tarde;retomada após túnel;saída de chicane;16;acf4389589a2
321;12;Rota das Cataratas;Arena Prisma Extreme;city;Cidade neon;noite seca;Noite;túnel escuro;esses de alta velocidade;17;a2525cfaf06e
322;12;Rota das Cataratas;Circuito Titânio Noite;grass;Campos verdes;céu limpo;Manhã;subida em caracol;entrada de chicane;18;8af2dba159ac
323;12;Rota das Cataratas;Grande Laço Trovão Sul;mountain;Vale nevado;neblina;Noite;curva de raio fechado;subida cega;19;faecc449054c
324;12;Rota das Cataratas;Ponte Gaia Final;desert;Cânion seco;céu limpo;Pôr do sol;curva longa de alta;reta de recuperação;23;5c3bca337906
325;13;Campeonato Neve Lunar;Desafio Saturno GT;grass;Floresta leve;neblina;Amanhecer;subida em caracol;curva em caracol;15;3d4fb21fd240
326;13;Campeonato Neve Lunar;Anel Coral Endurance;grass;Costa tropical;céu limpo;Tarde;curva de raio fechado;curva longa de alta;17;1be4019d1c0f
327;13;Campeonato Neve Lunar;Passagem Aurora Master;city;Cidade neon;noite seca;Noite;curva longa de alta;esses de alta velocidade;18;f6a75f6c8229
328;13;Campeonato Neve Lunar;Túnel Vulcano Extreme;grass;Campos verdes;céu limpo;Manhã;curva espelhada falsa;curva longa de alta;19;d2ffceed392a
329;13;Campeonato Neve Lunar;Desafio Relâmpago Noite;mountain;Vale nevado;neblina;Noite;zigue-zague rítmico;subida cega;20;122c431d6f88
330;13;Campeonato Neve Lunar;Anel Centelha Sul;desert;Cânion seco;céu limpo;Pôr do sol;subida cega;esses de alta velocidade;15;a00a160aeb73
331;13;Campeonato Neve Lunar;Passagem Solaris Final;city;Porto neon;chuva;Noite;trecho de aderência baixa;reta de recuperação;17;d29ad4963542
332;13;Campeonato Neve Lunar;Túnel Diamante Prime;city;Megacidade cyber;tempestade;Madrugada;miolo ondulado;saída de chicane;18;235fc6eae2f1
333;13;Campeonato Neve Lunar;Desafio Atlas Sprint;grass;Floresta leve;neblina;Amanhecer;reta de largada larga;entrada de chicane;19;6a94d155f5c3
334;13;Campeonato Neve Lunar;Anel Jaguar SX;grass;Costa tropical;céu limpo;Tarde;esses de alta velocidade;entrada de chicane;20;42ebab256a29
335;13;Campeonato Neve Lunar;Passagem Saturno Arcade;city;Cidade neon;noite seca;Noite;sequência travada;subida cega;16;b74446290a6a
336;13;Campeonato Neve Lunar;Túnel Coral Turbo;grass;Campos verdes;céu limpo;Manhã;trecho com relevo quebrado;descida rápida;17;71504bd7f170
337;13;Campeonato Neve Lunar;Desafio Aurora Norte;mountain;Vale nevado;neblina;Noite;final em mergulho;hairpin forte;18;90e298ec9f27
338;13;Campeonato Neve Lunar;Anel Vulcano Chuva;desert;Cânion seco;céu limpo;Pôr do sol;descida rápida;saída de chicane;22;706372ebeaf9
339;13;Campeonato Neve Lunar;Passagem Relâmpago Oeste;city;Porto neon;chuva;Noite;reta de pit longa;entrada de chicane;21;3c578637d8bb
340;13;Campeonato Neve Lunar;Túnel Centelha 16B;city;Megacidade cyber;tempestade;Madrugada;reta com vento;curva longa de alta;16;d1b668558e18
341;13;Campeonato Neve Lunar;Desafio Solaris RX;grass;Floresta leve;neblina;Amanhecer;S técnico;subida cega;17;e1d1109c0c28
342;13;Campeonato Neve Lunar;Anel Diamante Mirror;grass;Costa tropical;céu limpo;Tarde;ponto de frenagem tardia;subida cega;18;9a3393f2e7e1
343;13;Campeonato Neve Lunar;Passagem Atlas Clássico;city;Cidade neon;noite seca;Noite;ponte estreita;esses de alta velocidade;20;938e250c32b7
344;13;Campeonato Neve Lunar;Túnel Jaguar Circuit;grass;Campos verdes;céu limpo;Manhã;sequência de placas;entrada de chicane;20;688b36751a4b
345;13;Campeonato Neve Lunar;Desafio Saturno Solar;mountain;Vale nevado;neblina;Noite;curva de raio crescente;reta de recuperação;16;6ed660745ffc
346;13;Campeonato Neve Lunar;Anel Coral Leste;desert;Cânion seco;céu limpo;Pôr do sol;chicane curta;entrada de chicane;17;edb519e8030f
347;13;Campeonato Neve Lunar;Passagem Aurora Pro;city;Porto neon;chuva;Noite;miolo de 3 vértices;curva longa de alta;19;c1b979225399
348;13;Campeonato Neve Lunar;Túnel Vulcano GT;city;Megacidade cyber;tempestade;Madrugada;cotovelo em subida;esses de alta velocidade;19;22a486dc1551
349;13;Campeonato Neve Lunar;Desafio Relâmpago Endurance;grass;Floresta leve;neblina;Amanhecer;hairpin duplo;subida cega;20;0803dc033b4b
350;13;Campeonato Neve Lunar;Anel Centelha Master;grass;Costa tropical;céu limpo;Tarde;retomada após túnel;reta de recuperação;16;3323df9cac15
351;13;Campeonato Neve Lunar;Passagem Solaris Extreme;city;Cidade neon;noite seca;Noite;túnel escuro;esses de alta velocidade;17;4f7136562227
352;14;Autódromo Vulcão Antigo;Travessia Vector Solar;desert;Cânion seco;céu limpo;Pôr do sol;hairpin duplo;ponte estreita;20;d20107db0d84
353;14;Autódromo Vulcão Antigo;Caminho Atlântico Leste;city;Porto neon;chuva;Noite;retomada após túnel;entrada de chicane;20;d54a12d6f30a
354;14;Autódromo Vulcão Antigo;Estrada Mandacaru Pro;city;Megacidade cyber;tempestade;Madrugada;túnel escuro;descida rápida;20;aa0f635a0ff4
355;14;Autódromo Vulcão Antigo;Via Expressa Horizonte GT;grass;Floresta leve;neblina;Amanhecer;subida em caracol;esses de alta velocidade;15;3bae583e5e5d
356;14;Autódromo Vulcão Antigo;Travessia Cobalto Endurance;grass;Costa tropical;céu limpo;Tarde;curva de raio fechado;curva longa de alta;17;e456878f6ced
357;14;Autódromo Vulcão Antigo;Caminho Cascata Master;city;Cidade neon;noite seca;Noite;curva longa de alta;túnel escuro;18;6621d8cc623d
358;14;Autódromo Vulcão Antigo;Estrada Neblina Extreme;grass;Campos verdes;céu limpo;Manhã;curva espelhada falsa;descida rápida;19;d7edd12f3bbd
359;14;Autódromo Vulcão Antigo;Via Expressa Nômade Noite;mountain;Vale nevado;neblina;Noite;zigue-zague rítmico;subida cega;20;a5a94b9d20d9
360;14;Autódromo Vulcão Antigo;Travessia Tempestade Sul;desert;Cânion seco;céu limpo;Pôr do sol;subida cega;esses de alta velocidade;15;080f37cff8f1
361;14;Autódromo Vulcão Antigo;Caminho Falésia Final;city;Porto neon;chuva;Noite;trecho de aderência baixa;reta de recuperação;17;2cceec8cf93e
362;14;Autódromo Vulcão Antigo;Estrada Vector Prime;city;Megacidade cyber;tempestade;Madrugada;miolo ondulado;curva longa de alta;18;b46250a0e6cf
363;14;Autódromo Vulcão Antigo;Via Expressa Atlântico Sprint;grass;Floresta leve;neblina;Amanhecer;reta de largada larga;reta de recuperação;19;e6eb9ae1258f
364;14;Autódromo Vulcão Antigo;Travessia Mandacaru SX;grass;Costa tropical;céu limpo;Tarde;esses de alta velocidade;entrada de chicane;20;30d43dd65eaa
365;14;Autódromo Vulcão Antigo;Caminho Horizonte Arcade;city;Cidade neon;noite seca;Noite;sequência travada;esses de alta velocidade;16;32c5c2a269ca
366;14;Autódromo Vulcão Antigo;Estrada Cobalto Turbo;grass;Campos verdes;céu limpo;Manhã;trecho com relevo quebrado;descida rápida;17;4b369614928c
